Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Garage,Floors,Crime_Rate,House_Price
1475,1,2,47,13.72,1,1,9.95,239567.5
2306,5,2,7,22.03,1,3,0.99,425903.32
689,5,1,49,15.11,0,1,0.12,147102.55
3505,5,3,22,26.33,1,3,0.54,564929.62
3234,3,2,28,27.12,1,1,3.48,502705.22
3505,4,2,17,13.23,1,3,6.37,571942.21
1062,2,1,30,9.03,0,2,0.78,207123.53
2399,3,2,29,18.18,2,3,0.16,419463.26
1767,5,1,38,27.46,1,1,9.38,301022.86
3379,1,3,34,7.11,0,2,8.24,558424.87
2028,5,1,17,19.07,0,3,8.11,355293.28
3702,4,1,41,19.32,2,3,8.86,640337.45
1146,5,1,38,22.26,1,3,7.03,187711.96
2568,1,1,16,4.82,1,3,1.13,469193.5
3388,4,3,13,21.76,2,3,4.05,567601.78
2714,5,3,30,27.36,2,2,7.26,468397.94
1797,4,2,23,6.21,0,2,2.88,384974.19
2935,2,3,34,7.89,0,2,6.91,485202.34
1100,2,3,43,29.17,2,2,0.34,179590.91
2863,5,2,44,6.25,1,1,3.13,514616.52
2561,4,3,33,25.78,0,2,5.54,448146.35
741,1,1,2,15.28,0,3,6.36,152010.78
2541,5,1,36,8.17,1,3,5.81,440921.71
3324,2,2,42,26.25,0,2,7.01,513931.21
3917,2,2,39,13.91,1,3,0.16,612898.74
3112,5,2,25,15.93,1,2,1.1,586041.18
3445,4,1,22,11.42,1,3,8.7,595219.01
1863,2,3,43,18.2,2,1,6.85,361921.15
2639,4,1,38,5.74,2,1,1.22,453234.04
1890,2,2,14,12.34,2,2,8.44,355988.84
3503,2,3,48,29.11,1,2,2.5,533442.22
1978,3,3,3,8.49,1,2,4.83,374930.41
3999,2,1,28,20.05,2,3,1.54,619699.53
3056,1,2,21,10.43,0,2,7.13,504491.63
1275,5,1,24,23.43,1,1,6.7,229514.63
534,5,3,12,4.8,0,3,2.19,222319.48
2753,4,1,17,29.12,0,2,8.65,393721.58
3652,2,1,32,14.16,1,3,4.07,586347.8
2455,1,2,15,7.85,1,3,3.0,415550.8
2085,4,2,44,3.13,0,2,1.61,424955.72
3959,3,3,41,5.92,0,3,2.74,676500.96
3573,4,1,43,16.07,2,1,0.32,609051.77
1521,4,1,1,10.77,2,1,5.87,327758.11
3961,2,1,34,25.04,1,3,8.44,622332.14
3113,3,3,41,13.5,2,2,5.53,528262.01
1629,4,3,33,8.21,2,3,2.27,375631.73
2000,1,2,29,18.9,2,1,0.43,344439.83
1202,1,2,12,21.5,2,3,2.22,274473.54
2949,5,2,12,5.84,0,3,4.22,522702.72
3277,3,1,17,5.86,1,1,7.62,579658.53
2079,3,1,31,2.06,2,3,1.96,424256.84
661,5,2,31,22.36,0,3,7.23,137067.12
701,4,1,34,20.25,0,2,8.68,115120.41
2481,3,2,38,14.76,0,2,4.59,434623.32
1495,1,3,45,25.48,2,1,8.23,243127.03
2817,1,2,28,24.36,2,1,5.59,410801.69
1315,2,3,48,17.98,1,1,6.41,252880.07
3842,3,1,28,26.18,2,2,5.31,619864.04
955,4,2,43,6.97,2,1,4.69,244202.75
1775,5,1,15,4.25,0,1,2.42,325590.53
1516,5,3,43,8.82,1,1,3.1,299777.69
2843,4,3,46,2.66,2,2,2.97,509981.14
3267,2,3,9,16.4,2,3,5.68,581196.6
837,5,1,29,28.16,0,1,1.29,103999.02
1378,3,1,24,2.14,0,3,9.18,236544.98
1576,2,1,38,4.54,2,1,7.23,327819.78
1291,3,1,19,14.11,1,3,4.07,265043.59
2764,1,3,4,28.08,1,2,1.67,437356.57
1263,2,3,0,10.17,0,2,8.83,250599.07
2735,5,2,29,15.71,0,1,8.26,402953.12
879,2,2,48,2.21,2,3,7.25,240054.9
992,2,1,2,5.3,0,2,2.79,200465.37
3612,2,3,44,29.61,2,1,4.08,566415.82
1680,2,3,13,28.99,1,1,1.12,228518.75
2562,3,3,29,1.14,1,2,1.97,516991.36
564,1,2,49,28.6,2,2,7.85,65543.1
3068,4,2,3,19.53,0,1,7.18,469229.15
1867,2,3,17,26.17,1,3,5.98,306287.97
1652,5,3,36,14.19,0,3,8.97,298362.1
2527,2,3,24,15.95,1,3,5.87,460945.35
3195,5,2,47,15.18,2,1,4.72,541362.1
1995,3,3,0,20.34,2,2,3.47,408542.34
3634,5,3,45,5.05,2,1,9.41,656232.85
1662,4,1,14,1.87,1,2,0.92,371737.36
2022,1,1,8,9.93,0,3,9.32,335826.67
3140,5,2,14,21.44,0,3,8.28,537561.18
891,5,3,48,6.85,0,2,1.39,199247.52
2198,1,3,23,20.53,1,2,5.69,366502.49
918,4,1,3,29.13,1,1,8.68,137521.28
2836,2,2,11,3.72,1,3,5.76,545152.57
878,5,1,36,20.51,1,1,9.08,185990.69
2296,1,1,36,13.87,1,1,9.44,355918.43
2778,3,1,42,26.18,0,1,4.28,373769.78
3565,1,1,5,6.14,1,3,3.84,614691.95
2588,3,3,38,21.09,1,1,9.37,383897.81
3599,4,3,45,25.31,0,1,6.78,583382.86
2682,2,1,23,28.39,1,1,1.25,391666.6
700,1,2,10,20.81,0,1,0.52,122918.6
2363,5,2,12,15.42,0,1,5.69,396190.98
1279,4,2,33,18.92,2,1,9.31,222934.37
3477,1,2,24,26.2,2,3,8.46,555775.83
3604,5,1,6,17.55,2,1,6.79,605197.67
3619,1,3,3,1.88,2,2,1.48,667599.65
1002,3,2,7,28.0,1,1,2.62,155482.18
2954,1,1,19,21.0,2,1,8.77,475181.18
2251,1,2,28,20.62,0,3,1.91,374125.79
1304,1,2,44,7.25,1,3,2.86,253951.43
2646,4,1,45,20.11,2,2,1.38,470668.44
3231,1,3,9,12.42,0,2,6.79,531227.52
2395,5,3,42,19.89,1,3,9.45,431275.11
3273,3,1,33,4.09,1,3,2.76,540201.45
2070,3,3,25,20.08,2,1,4.81,380208.62
1460,1,1,40,29.98,1,3,6.38,190870.37
3160,4,1,48,2.4,0,2,9.99,529930.45
1985,4,1,2,29.34,1,1,1.14,322663.65
3190,5,3,5,12.8,0,2,5.04,566034.0
1528,1,1,4,26.25,1,1,3.91,242944.01
3789,3,2,4,23.69,2,3,8.67,609636.53
1002,4,3,46,17.44,0,2,4.81,204741.59
3314,1,3,22,22.42,1,1,1.2,555090.5
897,4,3,48,26.48,1,1,6.38,128147.18
1370,4,3,8,12.72,1,3,7.73,280269.2
3342,3,2,34,10.48,0,3,0.13,550829.29
892,2,3,19,20.36,0,3,8.6,141179.08
706,5,3,48,24.43,0,2,1.94,131236.04
1538,5,1,41,23.11,2,1,5.57,287392.37
2381,3,3,34,24.14,2,3,4.22,443241.74
3439,4,2,49,13.63,0,2,7.22,554143.5
1984,1,2,17,24.72,1,2,3.77,307915.28
1363,4,2,16,4.49,2,2,8.71,327618.48
3290,3,2,23,16.79,0,3,7.33,482690.63
3812,5,3,2,1.17,1,3,6.51,689166.43
1063,4,3,31,10.41,2,1,7.98,203327.39
1520,5,2,34,11.63,1,1,7.56,273676.01
595,1,2,37,12.49,1,3,0.46,129019.65
2423,5,3,12,21.17,1,2,4.01,466473.64
2257,5,2,46,12.27,1,2,9.31,343898.76
3032,2,1,24,14.01,2,2,1.34,507755.95
3978,2,2,8,7.89,2,1,7.4,691621.33
2778,2,2,3,11.82,2,2,9.75,498454.61
3296,5,1,13,7.59,0,1,0.62,600124.76
2178,3,1,36,3.12,2,1,6.85,409861.03
3742,5,3,33,18.5,1,2,4.73,638325.56
1040,3,3,10,20.38,2,2,5.83,191429.86
1559,3,1,40,18.97,1,3,0.94,251294.62
3072,2,1,2,14.44,0,3,0.53,472765.91
1683,4,3,27,12.01,1,2,6.7,343972.16
2222,1,2,28,26.04,1,1,8.25,333653.81
3814,2,1,8,16.05,1,1,7.84,608540.76
3657,2,3,2,14.9,0,1,5.48,581261.33
2319,4,2,24,1.74,2,1,1.09,449991.0
3125,1,1,33,10.9,2,1,6.91,514918.94
3229,5,2,11,12.03,0,3,2.49,553392.28
3104,5,3,41,12.57,1,2,9.12,519741.91
2097,2,1,8,17.82,2,3,8.4,353122.21
3560,1,2,14,16.47,0,1,7.12,537135.16
3193,2,1,39,18.63,2,1,9.49,480245.54
1295,3,2,24,23.18,0,1,0.41,190374.64
1551,2,3,4,24.58,1,1,7.39,273103.8
2143,2,3,10,21.83,2,2,3.37,417340.99
1863,5,1,33,28.71,0,1,9.07,264899.92
2481,5,2,23,1.53,2,2,2.74,509028.68
1854,5,1,14,6.68,2,1,7.28,384227.56
2163,3,1,37,1.22,2,2,8.79,418041.32
2029,5,2,7,19.78,2,3,0.51,382551.75
2538,1,2,4,27.04,0,1,4.04,410896.92
3919,4,2,47,8.06,1,2,7.65,640723.79
1996,1,3,25,27.88,0,3,4.6,316021.77
3802,1,1,17,2.75,0,1,2.75,633653.83
2737,5,1,5,28.1,0,1,2.28,387021.17
3796,4,3,36,11.2,1,1,1.4,645823.07
1908,4,2,47,3.94,2,2,8.59,380832.57
1900,4,3,12,15.09,2,2,5.8,382793.02
1806,3,3,27,8.45,2,3,0.86,391358.41
3180,5,3,4,9.26,1,2,3.89,605593.26
3175,4,1,12,9.91,2,2,3.74,566889.69
1472,3,3,16,24.29,1,1,1.9,273222.35
2268,2,1,49,16.64,2,1,4.41,369060.91
1782,2,1,39,10.03,2,1,3.39,303583.33
3930,3,1,44,18.7,0,1,3.48,596088.03
1209,3,2,31,21.77,1,1,7.42,218681.8
1979,5,1,28,8.91,0,1,2.31,380675.77
1934,5,1,2,12.99,0,1,6.45,354976.31
1148,2,2,39,4.53,0,3,5.75,259297.01
817,4,1,33,6.25,1,3,5.72,208237.29
3796,2,3,39,20.75,1,3,6.66,623607.6
1757,4,3,26,6.26,2,3,5.53,402457.82
1183,4,1,12,16.23,0,1,8.8,199692.99
1163,5,2,44,21.56,2,3,6.79,247710.07
2498,1,3,32,4.1,0,1,5.51,415567.1
3945,1,2,5,17.45,1,3,8.31,639276.25
2131,3,2,23,8.44,1,2,6.1,405170.52
1995,5,3,18,28.92,1,3,2.98,374551.9
3804,4,2,15,15.02,0,3,2.15,651155.19
1636,1,3,39,24.37,1,1,1.61,284852.28
2353,4,2,27,16.96,0,3,9.0,389582.39
2020,1,3,32,2.26,2,2,7.13,393052.14
2989,1,1,47,19.36,0,1,9.38,417512.02
1063,1,3,40,28.59,2,1,6.07,175865.67
1791,5,3,12,18.45,0,3,4.79,302545.06
3957,2,3,42,24.76,2,1,0.69,660525.14
3958,4,3,44,26.64,1,1,6.75,617157.47
3684,5,2,24,7.61,2,1,5.86,646749.97
2136,5,1,41,7.15,1,1,9.9,330055.68
3499,5,3,35,18.72,1,1,2.47,591513.73
3652,5,2,26,12.92,2,1,5.35,630370.47
1198,5,1,37,25.36,0,2,6.54,166099.07
2660,3,1,6,27.1,0,3,6.48,389279.06
501,4,1,4,11.25,0,2,5.66,131547.27
1141,5,1,42,7.87,0,1,7.79,206195.27
2767,4,3,44,23.64,0,1,2.13,452307.56
2089,3,3,30,8.97,1,3,7.28,381904.33
1354,3,2,22,24.86,0,2,6.24,216132.17
2259,4,2,41,13.29,1,3,8.97,420140.91
3796,1,2,9,20.36,1,2,8.49,593108.08
2932,2,1,31,3.77,1,1,3.22,511669.54
3974,1,1,42,19.09,2,3,2.83,633023.03
2161,1,3,29,14.1,2,3,9.82,386869.94
1653,1,1,38,18.01,1,1,5.32,252939.86
1576,5,1,30,5.87,2,3,9.07,321222.52
2207,3,1,17,22.37,0,2,1.72,351020.25
3277,1,2,35,26.02,0,2,6.46,469404.65
2195,3,2,1,7.29,1,2,8.12,444561.8
2233,4,3,13,3.78,0,2,9.48,442372.87
1939,2,1,12,1.69,1,1,3.44,341844.08
2794,4,1,28,19.62,1,3,7.28,427736.84
1335,4,3,11,18.61,0,2,5.43,253450.8
702,5,1,38,16.85,2,1,0.7,163443.89
3755,2,1,1,7.73,0,3,6.93,615036.12
622,4,2,31,12.34,0,3,6.93,160943.23
900,4,3,12,18.24,1,1,9.31,199974.72
1266,2,3,45,15.41,1,1,5.02,239242.58
793,2,3,26,29.65,1,2,2.38,168163.89
2827,4,3,48,4.96,1,3,0.54,504312.17
3431,2,2,40,21.16,2,3,4.21,559828.78
697,4,2,16,12.73,2,1,3.09,181598.95
3529,4,1,39,13.42,2,3,7.63,622038.72
2430,5,1,30,21.81,1,2,3.61,359662.97
3299,1,1,33,21.08,1,3,9.5,452800.37
2691,4,1,23,29.75,1,1,9.63,403732.73
1108,3,2,44,4.72,2,1,6.25,273065.93
3772,1,3,34,4.02,1,2,9.29,652625.09
1647,1,2,47,22.01,0,2,7.63,218240.38
686,1,1,5,17.77,0,3,5.51,151198.43
3897,5,2,18,8.95,1,3,1.89,664290.63
3011,4,3,29,3.3,0,1,4.64,567119.68
3920,5,3,6,3.48,0,2,5.65,677275.43
2294,4,2,9,26.93,2,2,8.65,380473.52
1159,5,2,40,6.56,1,2,4.87,276215.39
3311,5,2,31,10.38,1,3,8.99,546705.84
3502,3,1,33,7.57,2,2,6.78,627910.47
2455,5,2,27,11.29,0,1,1.46,429801.12
2950,2,2,14,3.01,0,1,9.95,504315.52
1869,3,2,29,16.05,1,3,5.32,358304.02
2486,5,3,36,2.96,0,3,3.98,463197.49
2034,1,3,28,24.21,2,2,6.63,360426.27
646,2,1,21,7.78,2,3,1.18,216510.67
3719,2,1,3,16.66,1,1,6.4,578458.42
3411,2,3,19,26.52,2,2,5.03,581917.75
2234,3,3,31,19.88,2,1,4.13,361488.43
2343,5,3,35,16.46,1,2,9.53,424302.01
988,5,2,49,10.41,2,3,5.27,216358.03
3476,1,2,3,10.66,2,2,2.27,624231.37
2459,1,3,26,20.42,2,2,4.64,436519.12
2163,2,2,16,29.83,0,1,9.2,345107.6
3098,1,2,11,20.19,1,1,1.84,525375.66
2885,3,1,21,17.18,1,2,2.22,473954.58
3419,5,3,16,22.19,1,3,0.23,572185.05
1140,2,3,9,14.49,0,3,0.24,250863.74
2302,1,2,0,2.74,0,1,8.31,406245.37
3020,3,3,21,17.31,1,3,7.35,546893.1
2469,3,1,25,28.77,0,1,3.61,311992.38
2698,1,1,17,6.08,1,3,7.01,507701.14
1938,5,1,49,21.01,0,2,4.01,317789.81
3869,1,3,13,6.83,2,1,9.53,647039.76
2134,2,3,46,16.54,2,1,9.67,379819.78
762,1,3,28,3.8,1,2,3.99,225868.43
2287,3,3,11,14.06,0,1,8.56,395536.94
2691,1,3,35,22.93,0,3,7.75,375561.59
2893,5,1,34,11.08,2,3,3.17,518493.06
1123,4,2,11,20.28,2,1,2.4,259097.9
1516,1,1,6,24.07,0,3,4.64,237843.29
1380,5,3,28,27.89,0,1,7.84,221519.86
2549,5,1,10,7.8,0,2,9.61,472896.32
3444,3,3,32,12.58,0,1,7.66,577326.12
1827,5,3,5,5.42,0,2,8.57,390476.78
2801,5,1,46,29.78,0,3,6.07,404457.31
952,5,3,14,27.88,1,2,8.37,176272.33
3608,5,2,31,16.66,0,3,7.87,554980.81
1683,2,3,10,25.42,2,1,3.83,295342.16
3562,2,2,22,16.11,1,3,5.56,602557.84
2556,3,2,25,19.08,0,1,8.07,396438.13
3804,1,3,33,3.58,2,1,0.56,680150.78
3670,5,1,45,22.9,1,2,8.1,592323.99
2182,1,2,33,4.7,2,2,1.86,422436.66
3363,1,1,28,24.96,0,2,5.2,494580.3
2755,3,2,3,23.68,0,2,8.1,405353.55
1654,5,3,16,21.55,0,3,2.61,304778.7
903,5,3,34,2.05,0,3,2.53,282772.53
2699,4,2,12,9.79,1,3,4.09,499375.94
2601,1,3,40,8.63,1,1,8.96,478274.76
3691,1,2,38,11.44,2,3,0.1,612667.69
2196,2,3,14,3.54,0,3,9.02,415418.95
1127,4,1,28,28.17,2,3,1.62,198646.43
1086,2,3,28,17.06,1,2,9.9,216759.69
2148,2,1,10,9.86,0,3,9.55,379420.17
1943,2,3,31,12.51,0,1,5.0,347469.32
1945,3,1,1,13.97,1,2,5.18,370817.04
603,3,3,46,18.42,1,1,4.87,132186.54
753,2,1,13,15.95,1,3,6.39,150009.43
3798,4,2,19,27.66,1,2,1.0,571056.14
3683,1,2,21,15.41,1,1,0.42,609649.02
3057,4,1,10,29.77,0,3,0.67,475343.68
1996,5,3,26,25.69,1,1,4.5,344971.71
598,3,1,2,7.05,0,1,2.83,149073.65
2700,1,3,16,27.99,0,1,6.26,398772.41
2384,1,2,43,4.37,1,3,9.93,410405.28
3461,5,3,27,24.71,1,3,3.92,569119.32
2419,5,2,28,12.04,0,1,5.78,424961.78
1377,2,3,20,26.46,1,2,4.21,245433.18
837,3,3,46,26.17,1,2,8.49,126648.64
3369,3,3,15,24.37,1,3,9.03,538665.29
3734,4,1,36,23.91,2,3,8.79,587697.56
1456,2,1,19,9.84,0,3,9.75,252976.27
2204,2,2,5,3.35,2,3,0.37,449746.29
660,2,2,18,12.69,1,3,8.41,168304.42
2103,2,1,4,6.03,2,2,7.54,365232.66
3348,3,2,2,21.15,1,3,2.36,531529.26
897,3,1,0,11.04,2,1,9.57,207161.39
1800,2,3,37,29.29,1,1,1.57,270436.28
1315,4,2,14,19.59,2,2,6.83,281504.85
2027,1,2,33,24.85,2,1,2.33,348736.02
2419,1,1,34,4.84,2,2,4.37,437264.94
1915,4,2,48,26.0,0,2,7.22,265370.5
1658,2,2,24,27.76,2,1,5.68,288151.87
1718,3,3,23,15.12,0,3,4.33,321158.05
900,1,2,11,18.58,1,1,3.33,139361.28
1139,5,3,17,23.18,2,1,8.41,209019.61
3604,5,1,14,6.07,1,2,1.52,669688.94
3235,4,2,43,15.57,1,1,4.36,561342.72
959,2,3,15,12.56,2,2,9.05,172227.14
1454,1,1,26,5.24,0,3,8.47,230284.18
969,2,2,7,11.66,2,3,4.07,256547.11
3946,1,1,45,2.98,1,3,7.65,644790.15
1545,4,2,24,1.75,1,1,8.25,338036.99
3297,4,1,16,4.92,2,2,8.9,586750.95
2193,5,1,28,28.93,0,3,5.49,347269.85
2585,2,3,7,16.94,0,2,2.12,441306.67
2777,5,1,14,29.01,1,2,2.63,435507.83
3936,2,2,26,13.54,1,3,3.03,671894.88
1062,5,2,45,10.04,0,3,5.98,227761.09
2985,3,3,49,15.68,2,2,0.42,538417.77
2299,3,2,6,13.75,1,3,6.4,418948.96
3854,3,2,2,4.06,0,2,3.71,655772.86
2574,3,2,28,19.58,1,2,3.02,462487.79
725,1,1,43,7.27,2,3,8.81,169919.37
3848,3,1,23,18.97,0,1,4.65,583389.03
1297,4,2,2,19.86,1,3,1.04,293456.59
2831,4,3,19,5.41,2,1,8.28,508943.52
3426,1,1,45,2.78,1,2,0.57,621645.67
1459,3,3,14,23.64,2,2,7.29,272767.0
2004,3,2,24,14.33,2,1,7.76,337729.72
952,3,2,29,2.69,0,2,3.59,259168.83
3567,5,1,13,29.85,2,1,8.27,550196.65
1315,2,2,6,2.68,1,1,5.21,290654.89
1158,5,1,16,21.16,2,2,4.69,249193.81
1046,2,2,43,29.53,2,1,0.55,194393.45
1715,3,2,19,7.94,0,3,2.97,336985.49
3620,3,1,35,5.13,2,3,9.32,609523.69
516,5,1,8,4.52,2,2,3.98,198259.85
3743,5,1,37,9.79,1,2,5.51,621173.69
1743,2,2,47,3.93,0,1,5.37,315400.23
2705,4,2,21,21.07,0,1,5.95,463702.99
3024,2,3,1,2.81,0,1,0.71,565368.5
1569,5,1,23,15.77,2,1,3.69,310292.93
3944,5,2,7,29.9,0,3,7.26,627649.82
3065,1,2,10,24.61,2,3,2.09,519941.61
2646,5,1,12,18.84,2,2,2.12,450582.52
2268,1,3,16,9.88,1,1,0.2,416994.45
1560,4,1,7,19.09,1,1,4.43,329620.55
2827,2,3,20,16.28,1,2,8.84,498786.42
3920,2,2,17,13.36,1,1,0.61,638131.29
3044,1,3,29,4.79,1,1,1.99,525685.84
801,2,2,17,26.71,2,1,3.17,137449.49
680,5,1,45,14.04,2,1,7.34,177026.4
1106,3,1,46,6.64,0,1,6.44,233252.82
3670,1,1,30,11.67,2,2,4.22,613693.34
1199,2,3,37,13.01,2,1,7.61,247243.25
1492,1,2,31,25.0,1,2,6.14,219136.89
1639,1,1,10,22.27,2,1,8.97,267687.46
690,3,1,44,23.31,1,3,8.2,94767.57
2800,5,2,24,1.32,0,3,2.6,489124.69
1480,1,1,32,13.07,0,3,2.79,278946.51
3475,2,2,37,14.96,2,3,1.34,570073.75
2506,4,2,40,1.56,0,2,3.44,453843.35
1684,1,2,7,8.53,2,2,10.0,338637.15
3827,1,2,10,23.05,0,1,4.12,607349.34
3894,3,2,21,4.98,1,3,2.28,687242.61
627,5,3,23,16.52,1,2,7.65,144815.78
2565,4,1,40,7.24,1,1,5.47,440063.07
2316,2,3,16,1.35,1,1,1.58,440620.29
2258,4,1,11,7.99,2,2,3.87,434725.78
3113,2,3,45,29.3,0,3,4.2,489789.69
1069,5,2,31,24.24,2,1,7.56,155262.23
1846,2,1,14,28.83,1,3,0.3,282582.2
2395,3,1,15,15.15,2,3,2.76,422099.01
3233,3,3,21,4.18,0,3,5.22,551334.77
1125,3,3,27,16.89,2,1,2.76,255769.81
3859,3,1,19,14.18,0,3,6.32,586870.48
3401,4,3,32,25.49,2,1,4.87,534942.11
2186,5,3,9,3.84,0,3,3.68,462541.38
3509,2,3,39,15.16,0,1,9.5,579381.43
654,2,2,31,5.35,1,3,6.36,172308.06
3037,3,2,49,10.42,0,2,1.39,480662.08
1909,3,3,32,22.38,1,3,5.64,317818.92
1284,1,3,1,14.8,1,3,7.83,276200.04
3675,5,2,32,11.9,1,1,7.11,621658.76
3964,4,2,32,12.44,2,1,1.8,676659.22
745,2,1,40,14.32,2,3,9.73,158590.99
3747,1,1,12,23.77,2,2,4.54,584906.8
3610,1,2,29,26.87,2,2,1.67,595964.25
2000,2,3,32,28.7,0,1,1.88,286157.13
2205,4,3,12,23.82,0,2,1.07,361870.82
3306,1,3,25,10.15,2,3,8.05,548180.93
1037,1,3,21,20.96,0,1,1.31,167750.25
2390,5,1,38,13.69,0,3,1.34,390910.49
2341,4,2,1,8.39,1,1,8.52,438801.51
1420,1,3,37,25.39,1,1,3.51,225728.95
2955,4,1,38,2.11,1,1,0.41,509518.49
1024,2,3,25,27.15,1,1,0.61,192212.79
3375,3,2,45,14.38,0,2,1.51,575926.26
2029,1,1,49,19.48,2,3,2.21,339146.77
3450,5,2,14,20.12,0,3,6.68,514910.04
535,2,2,33,26.96,0,3,1.66,124292.62
1184,4,1,41,19.46,0,1,1.28,210098.47
519,2,1,43,18.8,1,2,7.67,126738.37
2868,1,1,48,2.93,1,3,6.74,505744.47
3059,4,1,39,16.03,1,2,4.41,527250.31
899,3,1,10,5.35,2,1,5.54,227825.34
3201,2,1,2,22.39,0,3,3.19,493354.08
1471,1,1,5,15.85,2,2,4.88,278309.62
2406,5,3,8,20.73,1,1,5.12,416294.3
3018,4,2,5,2.21,2,2,3.93,590387.62
1666,2,1,8,3.46,0,3,9.08,257824.27
1615,2,3,38,21.77,0,3,0.26,275278.64
3925,3,3,30,3.09,1,1,7.84,705693.52
1333,3,3,31,3.07,1,1,1.33,304466.17
2323,5,2,40,1.35,2,1,8.0,491949.65
3274,5,1,49,28.74,1,2,6.2,489705.09
2482,1,3,11,22.39,1,2,8.45,421783.02
1353,1,2,7,11.24,0,2,1.07,238024.6
550,5,2,7,9.6,1,1,5.63,192179.13
1074,5,2,49,11.14,1,3,5.06,241711.9
3761,4,3,27,23.46,0,3,7.09,594694.99
1648,3,1,19,20.18,0,2,5.39,210902.36
2697,1,3,46,6.37,2,2,5.45,480452.46
2861,3,3,6,6.05,1,3,4.35,543569.06
3117,3,1,10,3.85,0,3,3.16,562254.19
3913,5,1,19,20.15,2,2,4.87,680479.0
2852,4,1,15,23.17,2,2,1.27,522950.65
